Year,Tm,W,L,R/G,Runs,Hits,Stolen Bases,BA,Struck Out,TB,SV,Hits Allowed,Runs Allowed,Strike Outs,ERA,ER,Rtot,DefEff,Winner
2010,TBR,96,66,4.95,802,1343,172,0.247,1292,2192,51,1347,649,1189,3.78,611,35,0.7090000000000001,0
2010,TEX,90,72,4.86,787,1556,123,0.276,986,2360,46,1355,687,1181,3.93,636,5,0.7040000000000001,0
2010,TOR,85,77,4.66,755,1364,58,0.248,1164,2496,45,1407,728,1184,4.22,676,15,0.6890000000000001,0
2010,WSN,69,93,4.04,655,1355,110,0.25,1220,2114,37,1469,742,1068,4.13,658,-8,0.684,0
2011,ARI,94,68,4.51,731,1357,133,0.25,1249,2240,58,1414,662,1058,3.8,609,26,0.701,0
2011,ATL,89,73,3.96,641,1345,77,0.243,1260,2140,52,1332,605,1332,3.48,572,-10,0.6990000000000001,0
2011,BAL,69,93,4.37,708,1434,81,0.257,1120,2306,32,1568,860,1044,4.89,786,-59,0.682,0
2011,BOS,90,72,5.4,875,1600,102,0.28,1108,2631,36,1366,737,1213,4.2,680,10,0.701,0
2011,CHC,71,91,4.04,654,1423,69,0.256,1202,2224,40,1439,756,1224,4.33,690,-5,0.6779999999999999,0
2011,CHW,79,83,4.04,654,1387,81,0.252,989,2133,42,1463,706,1220,4.1,665,-11,0.685,0
2011,CIN,79,83,4.54,735,1438,97,0.256,1250,2289,39,1414,720,1112,4.16,678,26,0.705,0
2011,CLE,80,82,4.35,704,1380,89,0.25,1269,2184,38,1482,760,1024,4.23,683,4,0.6920000000000001,0
2011,COL,73,89,4.54,735,1429,118,0.258,1201,2272,41,1471,774,1118,4.43,713,-35,0.688,0
2011,DET,95,67,4.86,787,1540,49,0.27699999999999997,1143,2412,52,1406,711,1115,4.04,647,-4,0.6920000000000001,0
2011,FLA,72,90,3.86,625,1358,95,0.247,1244,2139,40,1403,702,1218,3.95,640,-16,0.6940000000000001,0
2011,HOU,56,106,3.8,615,1442,118,0.258,1164,2092,25,1477,796,1191,4.51,719,-4,0.68,0
2011,KCR,71,91,4.51,730,1560,153,0.275,1006,2354,37,1487,762,1080,4.44,716,-18,0.687,0
2011,LAA,86,76,4.12,667,1394,135,0.253,1086,2216,39,1388,633,1058,3.57,581,35,0.7040000000000001,0
2011,LAD,82,79,4.0,644,1395,126,0.257,1087,2039,40,1287,612,1265,3.54,563,-6,0.701,0
2011,MIL,96,66,4.45,721,1422,94,0.261,1083,2315,47,1348,638,1257,3.63,582,23,0.6940000000000001,0
2011,MIN,63,99,3.82,619,1357,92,0.247,1048,1975,32,1564,804,940,4.58,724,-65,0.677,0
2011,NYM,77,85,4.43,718,1477,130,0.264,1085,2188,43,1482,742,1126,4.19,674,-84,0.6829999999999999,0
2011,NYY,97,65,5.35,867,1452,147,0.263,1138,2451,47,1423,657,1222,3.73,605,26,0.688,0
2011,OAK,74,88,3.98,645,1330,117,0.244,1094,2010,39,1380,679,1160,3.71,597,-33,0.6920000000000001,0
2011,PHI,102,60,4.4,713,1409,96,0.253,1024,2202,47,1320,529,1299,3.02,495,23,0.703,0
2011,PIT,72,90,3.77,610,1325,108,0.244,1308,1993,43,1513,712,1031,4.04,650,-18,0.684,0
2011,SDP,71,91,3.66,593,1284,170,0.237,1320,1888,44,1324,611,1139,3.42,551,12,0.7040000000000001,0
2011,SEA,67,95,3.43,556,1263,125,0.233,1280,1887,39,1369,675,1088,3.9,621,-14,0.698,0
2011,SFG,86,76,3.52,570,1327,85,0.242,1122,2020,52,1260,578,1316,3.2,522,11,0.701,0
2011,STL,90,72,4.7,762,1513,57,0.273,978,2351,47,1461,692,1098,3.74,608,-4,0.687,1
2011,TBR,91,71,4.36,707,1324,155,0.244,1193,2187,32,1263,614,1143,3.58,577,52,0.7240000000000001,0
2011,TEX,96,66,5.28,855,1599,143,0.28300000000000003,930,2603,38,1327,677,1179,3.79,607,38,0.7040000000000001,0
2011,TOR,81,81,4.59,743,1384,131,0.249,1184,2295,33,1433,761,1169,4.32,700,19,0.693,0
2011,WSN,80,81,3.88,624,1319,106,0.242,1323,2082,49,1403,643,1049,3.58,577,45,0.6970000000000001,0
2012,ARI,81,81,4.53,734,1416,93,0.259,1266,2284,39,1432,688,1200,3.93,626,-15,0.685,0
2012,ATL,94,68,4.32,700,1341,101,0.247,1289,2111,47,1310,600,1232,3.42,549,97,0.703,0
2012,BAL,93,69,4.4,712,1375,58,0.247,1315,2319,55,1433,705,1177,3.9,642,13,0.6990000000000001,0
2012,BOS,69,93,4.53,734,1459,97,0.26,1197,2325,35,1449,806,1176,4.7,754,39,0.6890000000000001,0
2012,CHC,61,101,3.78,613,1297,94,0.24,1235,2045,28,1399,759,1128,4.51,708,11,0.6920000000000001,0
2012,CHW,85,77,4.62,748,1409,109,0.255,1203,2328,37,1365,676,1246,4.02,646,54,0.7020000000000001,0
2012,CIN,97,65,4.13,669,1377,87,0.251,1266,2249,56,1356,588,1248,3.34,540,21,0.6990000000000001,0
2012,CLE,68,94,4.12,667,1385,110,0.251,1087,2107,43,1503,845,1086,4.78,766,-23,0.685,0
